Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Lake,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,Lake,25 - 29 years,<11,06/10/2021
Death,2021,Place of Residence,Lake,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Lake,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Lake,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Lake,45 - 49 years,<11,06/10/2021
Death,2021,Place of Residence,Lake,50 - 54 years,14,06/10/2021
Death,2021,Place of Residence,Lake,55 - 59 years,22,06/10/2021
Death,2021,Place of Residence,Lake,60 - 64 years,31,06/10/2021
Death,2021,Place of Residence,Lake,65 - 69 years,26,06/10/2021
Death,2021,Place of Residence,Lake,70 - 74 years,34,06/10/2021
Death,2021,Place of Residence,Lake,75 - 79 years,57,06/10/2021
Death,2021,Place of Residence,Lake,80 - 84 years,34,06/10/2021
Death,2021,Place of Residence,Lake,85 - 89 years,22,06/10/2021
Death,2021,Place of Residence,Lake,90 - 94 years,26,06/10/2021
Death,2021,Place of Residence,Lake,95 - 99 years,12,06/10/2021
Death,2021,Place of Residence,Lake,100 years and over,<11,06/10/2021
Death,2021,Place of Residence,Lassen,Less than 1 year,0,06/10/2021
Death,2021,Place of Residence,Lassen,1 - 4 years,0,06/10/2021
Death,2021,Place of Residence,Lassen,5 - 9 years,0,06/10/2021
Death,2021,Place of Residence,Lassen,10 - 14 years,0,06/10/2021
Death,2021,Place of Residence,Lassen,15 - 19 years,0,06/10/2021
Death,2021,Place of Residence,Lassen,20 - 24 years,<11,06/10/2021
Death,2021,Place of Residence,Lassen,25 - 29 years,0,06/10/2021
Death,2021,Place of Residence,Lassen,30 - 34 years,<11,06/10/2021
Death,2021,Place of Residence,Lassen,35 - 39 years,<11,06/10/2021
Death,2021,Place of Residence,Lassen,40 - 44 years,<11,06/10/2021
Death,2021,Place of Residence,Lassen,45 - 49 years,0,06/10/2021
