Type_of_Event,Year_of_Death,Residence_or_Place_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths,Last_Data_Refresh
Death,2021,Place of Residence,Amador,80 - 84 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,80 - 84 years,Unknown,<11,06/10/2021
Death,2021,Place of Residence,Amador,85 - 89 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Amador,85 - 89 years,Widowed,11,06/10/2021
Death,2021,Place of Residence,Amador,85 - 89 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Amador,85 - 89 years,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,85 - 89 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,90 - 94 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Amador,90 - 94 years,Widowed,11,06/10/2021
Death,2021,Place of Residence,Amador,90 - 94 years,Divorced,<11,06/10/2021
Death,2021,Place of Residence,Amador,90 - 94 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Amador,90 - 94 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,95 - 99 years,Married (including SRDP),<11,06/10/2021
Death,2021,Place of Residence,Amador,95 - 99 years,Widowed,<11,06/10/2021
Death,2021,Place of Residence,Amador,95 - 99 years,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,95 - 99 years,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Amador,95 - 99 years,Unknown,0,06/10/2021
Death,2021,Place of Residence,Amador,100 years and over,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Amador,100 years and over,Widowed,<11,06/10/2021
Death,2021,Place of Residence,Amador,100 years and over,Divorced,0,06/10/2021
Death,2021,Place of Residence,Amador,100 years and over,Never Married,0,06/10/2021
Death,2021,Place of Residence,Amador,100 years and over,Unknown,0,06/10/2021
Death,2021,Place of Residence,Butte,Less than 1 year,Married (including SRDP),0,06/10/2021
Death,2021,Place of Residence,Butte,Less than 1 year,Widowed,0,06/10/2021
Death,2021,Place of Residence,Butte,Less than 1 year,Divorced,0,06/10/2021
Death,2021,Place of Residence,Butte,Less than 1 year,Never Married,<11,06/10/2021
Death,2021,Place of Residence,Butte,Less than 1 year,Unknown,0,06/10/2021
