Year_of_Death,County_of_Residence,Age,Education_level,Total_Deaths_Education,age_cat,education_cat,Description
2014,Amador,35 - 39 years,Unknown,0,9,6,rural
2014,Amador,35 - 39 years,Graduate Degree,0,9,2,rural
2014,Amador,40 - 44 years,Less than High School,0,10,4,rural
2014,Amador,40 - 44 years,Graduate Degree,0,10,2,rural
2014,Amador,40 - 44 years,Unknown,0,10,6,rural
2014,Amador,40 - 44 years,Bachelor's Degree,0,10,1,rural
2014,Amador,40 - 44 years,"Some College Credit, No 4-Year Degree",10,10,5,rural
2014,Amador,40 - 44 years,High School Graduate or GED Completed,10,10,3,rural
2014,Amador,45 - 49 years,High School Graduate or GED Completed,10,11,3,rural
2014,Amador,45 - 49 years,Less than High School,0,11,4,rural
2014,Amador,45 - 49 years,Unknown,0,11,6,rural
2014,Amador,45 - 49 years,Bachelor's Degree,0,11,1,rural
2014,Amador,45 - 49 years,Graduate Degree,10,11,2,rural
2014,Amador,45 - 49 years,"Some College Credit, No 4-Year Degree",0,11,5,rural
2014,Amador,50 - 54 years,Unknown,0,12,6,rural
2014,Amador,50 - 54 years,Graduate Degree,0,12,2,rural
2014,Amador,50 - 54 years,Bachelor's Degree,0,12,1,rural
2014,Amador,50 - 54 years,High School Graduate or GED Completed,10,12,3,rural
2014,Amador,50 - 54 years,"Some College Credit, No 4-Year Degree",10,12,5,rural
2014,Amador,50 - 54 years,Less than High School,10,12,4,rural
2014,Amador,55 - 59 years,Graduate Degree,0,13,2,rural
2014,Amador,55 - 59 years,"Some College Credit, No 4-Year Degree",10,13,5,rural
2014,Amador,55 - 59 years,Unknown,0,13,6,rural
2014,Amador,55 - 59 years,Less than High School,10,13,4,rural
2014,Amador,55 - 59 years,High School Graduate or GED Completed,12,13,3,rural
2014,Amador,55 - 59 years,Bachelor's Degree,10,13,1,rural
2014,Amador,60 - 64 years,Graduate Degree,0,14,2,rural
2014,Amador,60 - 64 years,Unknown,0,14,6,rural
2014,Amador,60 - 64 years,High School Graduate or GED Completed,14,14,3,rural
2014,Amador,60 - 64 years,"Some College Credit, No 4-Year Degree",10,14,5,rural
2014,Amador,60 - 64 years,Bachelor's Degree,10,14,1,rural
2014,Amador,60 - 64 years,Less than High School,10,14,4,rural
2014,Amador,65 - 69 years,"Some College Credit, No 4-Year Degree",12,15,5,rural
2014,Amador,65 - 69 years,Bachelor's Degree,10,15,1,rural
2014,Amador,65 - 69 years,Less than High School,10,15,4,rural
2014,Amador,65 - 69 years,Unknown,10,15,6,rural
2014,Amador,65 - 69 years,High School Graduate or GED Completed,16,15,3,rural
2014,Amador,65 - 69 years,Graduate Degree,10,15,2,rural
2014,Amador,70 - 74 years,"Some College Credit, No 4-Year Degree",18,16,5,rural
2014,Amador,70 - 74 years,High School Graduate or GED Completed,13,16,3,rural
2014,Amador,70 - 74 years,Unknown,0,16,6,rural
2014,Amador,70 - 74 years,Less than High School,10,16,4,rural
2014,Amador,70 - 74 years,Bachelor's Degree,10,16,1,rural
2014,Amador,70 - 74 years,Graduate Degree,10,16,2,rural
2014,Amador,75 - 79 years,"Some College Credit, No 4-Year Degree",18,17,5,rural
2014,Amador,75 - 79 years,Unknown,10,17,6,rural
2014,Amador,75 - 79 years,Less than High School,10,17,4,rural
2014,Amador,75 - 79 years,High School Graduate or GED Completed,16,17,3,rural
2014,Amador,75 - 79 years,Bachelor's Degree,10,17,1,rural
2014,Amador,75 - 79 years,Graduate Degree,10,17,2,rural
2014,Amador,80 - 84 years,Bachelor's Degree,10,18,1,rural
2014,Amador,80 - 84 years,Graduate Degree,10,18,2,rural
2014,Amador,80 - 84 years,"Some College Credit, No 4-Year Degree",17,18,5,rural
2014,Amador,80 - 84 years,High School Graduate or GED Completed,19,18,3,rural
2014,Amador,80 - 84 years,Less than High School,10,18,4,rural
2014,Amador,80 - 84 years,Unknown,10,18,6,rural
2014,Amador,85 - 89 years,Unknown,10,19,6,rural
2014,Amador,85 - 89 years,Less than High School,15,19,4,rural
2014,Amador,85 - 89 years,"Some College Credit, No 4-Year Degree",15,19,5,rural
2014,Amador,85 - 89 years,Bachelor's Degree,10,19,1,rural
2014,Amador,85 - 89 years,High School Graduate or GED Completed,36,19,3,rural
2014,Amador,85 - 89 years,Graduate Degree,10,19,2,rural
2014,Amador,90 - 94 years,Bachelor's Degree,10,20,1,rural
2014,Amador,90 - 94 years,High School Graduate or GED Completed,38,20,3,rural
2014,Amador,90 - 94 years,Graduate Degree,10,20,2,rural
2014,Amador,90 - 94 years,Unknown,0,20,6,rural
2014,Amador,90 - 94 years,Less than High School,10,20,4,rural
2014,Amador,90 - 94 years,"Some College Credit, No 4-Year Degree",10,20,5,rural
2014,Amador,95 - 99 years,Graduate Degree,10,21,2,rural
2014,Amador,95 - 99 years,Less than High School,10,21,4,rural
2014,Amador,95 - 99 years,Unknown,10,21,6,rural
2014,Amador,95 - 99 years,Bachelor's Degree,10,21,1,rural
2014,Amador,95 - 99 years,"Some College Credit, No 4-Year Degree",10,21,5,rural
2014,Amador,95 - 99 years,High School Graduate or GED Completed,17,21,3,rural
2014,Amador,100 years and over,"Some College Credit, No 4-Year Degree",10,22,5,rural
2014,Amador,100 years and over,Bachelor's Degree,0,22,1,rural
2014,Amador,100 years and over,High School Graduate or GED Completed,0,22,3,rural
2014,Amador,100 years and over,Less than High School,10,22,4,rural
2014,Amador,100 years and over,Unknown,0,22,6,rural
2014,Amador,100 years and over,Graduate Degree,10,22,2,rural
