Year_of_Death,County_of_Residence,Age,Veteran_Status,Total_Deaths_veteran
2021,El Dorado,95 - 99 years,No,38
2021,El Dorado,95 - 99 years,Unknown,0
2021,El Dorado,95 - 99 years,Yes,13
2021,El Dorado,100 years and over,No,6
2021,El Dorado,100 years and over,Unknown,0
2021,El Dorado,100 years and over,Yes,6
2021,Fresno,Less than 1 year,No,24
2021,Fresno,Less than 1 year,Unknown,0
2021,Fresno,Less than 1 year,Yes,0
2021,Fresno,1 - 4 years,No,6
2021,Fresno,1 - 4 years,Unknown,0
2021,Fresno,1 - 4 years,Yes,0
2021,Fresno,5 - 9 years,No,6
2021,Fresno,5 - 9 years,Unknown,0
2021,Fresno,5 - 9 years,Yes,0
2021,Fresno,10 - 14 years,No,6
2021,Fresno,10 - 14 years,Unknown,0
2021,Fresno,10 - 14 years,Yes,0
2021,Fresno,15 - 19 years,No,14
2021,Fresno,15 - 19 years,Unknown,0
2021,Fresno,15 - 19 years,Yes,0
2021,Fresno,20 - 24 years,No,31
2021,Fresno,20 - 24 years,Unknown,0
2021,Fresno,20 - 24 years,Yes,0
2021,Fresno,25 - 29 years,No,37
2021,Fresno,25 - 29 years,Unknown,0
2021,Fresno,25 - 29 years,Yes,0
2021,Fresno,30 - 34 years,No,55
2021,Fresno,30 - 34 years,Unknown,6
2021,Fresno,30 - 34 years,Yes,0
2021,Fresno,35 - 39 years,No,68
2021,Fresno,35 - 39 years,Unknown,0
2021,Fresno,35 - 39 years,Yes,6
2021,Fresno,40 - 44 years,No,72
2021,Fresno,40 - 44 years,Unknown,0
2021,Fresno,40 - 44 years,Yes,6
2021,Fresno,45 - 49 years,No,97
2021,Fresno,45 - 49 years,Unknown,0
2021,Fresno,45 - 49 years,Yes,6
2021,Fresno,50 - 54 years,No,139
