Year_of_Death,County_of_Residence,Age,Total_Deaths
2021,Riverside,75 - 79 years,1104
2021,Riverside,80 - 84 years,1078
2021,Riverside,85 - 89 years,1041
2021,Riverside,90 - 94 years,762
2021,Riverside,95 - 99 years,374
2021,Riverside,100 years and over,73
2021,Sacramento,Less than 1 year,31
2021,Sacramento,1 - 4 years,6
2021,Sacramento,5 - 9 years,6
2021,Sacramento,10 - 14 years,6
2021,Sacramento,15 - 19 years,20
2021,Sacramento,20 - 24 years,32
2021,Sacramento,25 - 29 years,45
2021,Sacramento,30 - 34 years,56
2021,Sacramento,35 - 39 years,76
2021,Sacramento,40 - 44 years,79
2021,Sacramento,45 - 49 years,103
2021,Sacramento,50 - 54 years,168
2021,Sacramento,55 - 59 years,282
2021,Sacramento,60 - 64 years,408
2021,Sacramento,65 - 69 years,444
2021,Sacramento,70 - 74 years,507
2021,Sacramento,75 - 79 years,478
2021,Sacramento,80 - 84 years,494
2021,Sacramento,85 - 89 years,603
2021,Sacramento,90 - 94 years,484
2021,Sacramento,95 - 99 years,225
2021,Sacramento,100 years and over,65
2021,San Benito,Less than 1 year,6
2021,San Benito,1 - 4 years,0
2021,San Benito,5 - 9 years,0
2021,San Benito,10 - 14 years,0
2021,San Benito,15 - 19 years,6
2021,San Benito,20 - 24 years,6
2021,San Benito,25 - 29 years,6
2021,San Benito,30 - 34 years,6
2021,San Benito,35 - 39 years,6
2021,San Benito,40 - 44 years,6
2021,San Benito,45 - 49 years,6
2021,San Benito,50 - 54 years,6
2021,San Benito,55 - 59 years,6
2021,San Benito,60 - 64 years,6
2021,San Benito,65 - 69 years,13
2021,San Benito,70 - 74 years,21
2021,San Benito,75 - 79 years,14
2021,San Benito,80 - 84 years,19
2021,San Benito,85 - 89 years,20
2021,San Benito,90 - 94 years,18
2021,San Benito,95 - 99 years,6
2021,San Benito,100 years and over,6
2021,San Bernardino,Less than 1 year,43
2021,San Bernardino,1 - 4 years,6
