Year_of_Death,County_of_Residence,Age,Marital_Status,Total_Deaths_marital
2021,Calaveras,85 - 89 years,Never Married,6
2021,Calaveras,85 - 89 years,Unknown,0
2021,Calaveras,90 - 94 years,Married (including SRDP),6
2021,Calaveras,90 - 94 years,Widowed,6
2021,Calaveras,90 - 94 years,Divorced,6
2021,Calaveras,90 - 94 years,Never Married,0
2021,Calaveras,90 - 94 years,Unknown,0
2021,Calaveras,95 - 99 years,Married (including SRDP),6
2021,Calaveras,95 - 99 years,Widowed,6
2021,Calaveras,95 - 99 years,Divorced,0
2021,Calaveras,95 - 99 years,Never Married,0
2021,Calaveras,95 - 99 years,Unknown,0
2021,Calaveras,100 years and over,Married (including SRDP),0
2021,Calaveras,100 years and over,Widowed,6
2021,Calaveras,100 years and over,Divorced,0
2021,Calaveras,100 years and over,Never Married,0
2021,Calaveras,100 years and over,Unknown,0
2021,Colusa,Less than 1 year,Married (including SRDP),0
2021,Colusa,Less than 1 year,Widowed,0
2021,Colusa,Less than 1 year,Divorced,0
2021,Colusa,Less than 1 year,Never Married,6
2021,Colusa,Less than 1 year,Unknown,0
2021,Colusa,1 - 4 years,Married (including SRDP),0
2021,Colusa,1 - 4 years,Widowed,0
2021,Colusa,1 - 4 years,Divorced,0
2021,Colusa,1 - 4 years,Never Married,0
2021,Colusa,1 - 4 years,Unknown,0
2021,Colusa,5 - 9 years,Married (including SRDP),0
2021,Colusa,5 - 9 years,Widowed,0
2021,Colusa,5 - 9 years,Divorced,0
2021,Colusa,5 - 9 years,Never Married,0
2021,Colusa,5 - 9 years,Unknown,0
2021,Colusa,10 - 14 years,Married (including SRDP),0
2021,Colusa,10 - 14 years,Widowed,0
2021,Colusa,10 - 14 years,Divorced,0
2021,Colusa,10 - 14 years,Never Married,0
2021,Colusa,10 - 14 years,Unknown,0
2021,Colusa,15 - 19 years,Married (including SRDP),0
2021,Colusa,15 - 19 years,Widowed,0
2021,Colusa,15 - 19 years,Divorced,0
2021,Colusa,15 - 19 years,Never Married,0
2021,Colusa,15 - 19 years,Unknown,0
2021,Colusa,20 - 24 years,Married (including SRDP),0
2021,Colusa,20 - 24 years,Widowed,0
2021,Colusa,20 - 24 years,Divorced,0
2021,Colusa,20 - 24 years,Never Married,0
2021,Colusa,20 - 24 years,Unknown,0
2021,Colusa,25 - 29 years,Married (including SRDP),0
2021,Colusa,25 - 29 years,Widowed,0
2021,Colusa,25 - 29 years,Divorced,0
2021,Colusa,25 - 29 years,Never Married,0
2021,Colusa,25 - 29 years,Unknown,0
